PID,Sale_Price
906380170,199088.20211388473
902204080,87459.04632861921
535478110,110324.53217615158
908152270,157337.9031698517
903458060,117168.2479650267
907285100,235021.66949530595
535377090,129816.5968603374
527354200,190870.20447983747
911128020,105687.81025749272
533242030,224191.51097881712
907135080,160660.8691494864
902104020,143228.41865069815
907414070,189085.41765484127
528228450,202941.42565391373
905425125,213801.53567146236
534225110,148767.0716465977
903427090,155830.37183565044
902109080,103075.52882781602
531452020,122695.03827094675
534451020,82148.74028752685
531375120,162932.05647289462
531451280,208667.17578749952
907192030,186684.84384289905
526350040,109613.46191962299
534202030,142692.91527970362
528172150,293828.25338926486
908275240,114201.70481396031
908151040,153322.16909777938
528458130,324839.39741074387
532378200,134662.76873804405
535303030,170332.35261430632
533208040,189760.65892688037
905201110,156508.46406365887
527126030,245196.66871630712
907412080,186754.3537632181
528142010,304733.54806621035
916403020,178654.66009240862
528120060,372786.5613043407
904351280,117480.18948221074
533244030,247285.22571711158
924100070,164353.95931620657
906392100,236470.39039580454
905200350,153691.34814884773
535125010,224275.78508946855
907180120,210054.12098464934
534251320,155863.9781978413
527252050,297832.4942745619
905451330,182156.13562806303
527356020,277405.90037918487
909131170,127754.05281455981
528218030,188683.2595315085
903454060,62396.891843595775
907252020,246600.2079764629
923202060,129086.00608118216
528435040,344397.839424348
905201080,146682.7135027867
905300080,142175.23501716342
905229040,151992.07413665997
907254050,209926.23735706534
903426160,149541.67084159362
923228290,84263.57755446248
535402070,148830.4221225167
909101080,87712.67427689832
535175030,156194.54257086894
531475220,155502.27276789967
903454010,123829.68329836971
528228360,213234.42820080867
534427010,144465.36820328893
905476225,125260.34077795706
907202050,162913.7360671386
903227090,115920.96294138863
907290230,152038.65579721637
531375070,140951.48344543175
534427140,158269.43530288595
531452100,160504.38008901264
528186100,315166.24845526624
914476050,138068.18647034085
535382130,160536.61524394536
906226080,142137.29675831296
902207120,94956.14555324068
531376050,189585.42350555534
907295100,196566.89580424
903476090,111104.12021818272
531375060,137061.82760583554
535453150,147106.6492668813
528106050,459302.9398296936
535454060,87234.14883372694
528106070,315597.0484650909
923229010,155350.65469312095
908102050,108995.80143141319
535425040,191002.2547361891
533221030,179354.7609093671
528427020,235501.09056718825
535352080,109796.67637876232
907203060,127032.73207697704
903201080,170758.2351376175
908188130,143180.4899246443
907420080,201107.72562394914
908186070,150631.31333329008
531382090,181474.52327961326
527353080,182888.6529795806
533350050,315210.17397636815
528218130,212925.7823286334
534403100,156749.59385715143
905402070,108599.9170697256
533253050,167204.61730809757
907230240,136798.7781238252
527403040,153759.84487436974
909252110,165173.81742847213
907290090,202702.13123062727
923202025,188631.06433925132
534403360,153662.6123941145
527454120,134467.1718434296
907250020,235241.12679717605
907414060,192173.43488251048
909250200,138094.3068256224
923251160,104359.99859880553
527182190,205199.8541617398
528363130,333263.85071372025
535452140,111153.92789832111
527216050,394418.1308363519
904100140,212555.11530602
