Word,Average_Impact
sheer,-0.009840703600230611
incompetence,-0.027186293602136636
carelessness,-0.004250805540835306
awful,-0.007995087000726946
acting,-0.008030870578565111
banal,-0.011904253379317687
background,-0.01337171121517027
music,-0.01462152013261427
insensitive,-0.011282235950206655
direction,-0.014788979406157466
make,-0.01358972775095083
it,-0.0071286761145177065
a,-0.009122939532050352
real,-0.010459935110284743
br,-0.003987481781477598
blunders,-0.005633159071876492
rule,-0.0042602828688169305
they,-0.0077606356108087995
communicate,-0.009292755372833791
among,-0.009117336195872506
themselves,-0.009189183959771849
in,-0.013096673967772986
english,-0.004308256133144524
ironically,-0.009645726442543665
he,-0.013181712150422603
is,-0.014870841603706811
depicted,-0.007273582539698375
the,-0.010683305573601693
same,-0.009392380118318493
but,-0.009164536813585228
for,-0.009624876634339157
what,-0.017380040310772418
care,-0.009213414441838357
how,-0.006133383251411831
can,-0.005118556457896314
german,-0.005193779342373532
police,-0.003851301659395537
issue,-0.006072885290838502
public,-0.004693764916968217
instructions,-0.006766811361990703
on,-0.006238217957334431
loud,-0.006851079706876212
speaker,-0.007574498099286181
no,-0.0031251768406927215
one,-0.009486721986125969
recent,-0.013243975128942872
years,-0.010209728610776814
has,-0.011751826233896005
come,-0.014207372500670768
back,-0.014864847575427654
from,-0.014847114797403433
wilderness,-0.012598654062758518
and,-0.008442554520894421
made,-0.01304305121481103
mark,-0.010879892055472887
i,-0.014717554118898427
truly,-0.014737380347349487
expected,-0.021000933919436145
great,-0.006772726005848577
film,-0.006322692072528955
with,-0.013235046604077738
budget,-0.018136720290270324
of,-0.017925341462636094
cr,-0.012671112437361052
cute,-0.010279286682201528
actress,-0.007727522243010929
worse,-0.008963512569522894
thing,-0.007597993041680025
that,-0.007325420369504246
majority,-0.006165156120628066
just,-0.004571825549802981
does,-0.0014226117954300004
songs,-0.0011498977428921538
are,-0.003593514636905918
only,-0.016205366931658832
saving,-0.015128918270398828
grace,-0.007172716307020275
please,-0.01100587854650518
do,-0.0014226117954300004
repeat,-0.005417790734312464
this,-0.015984509814593144
hr,-0.013278349250255492
find,-0.020280552206345285
yourself,-0.010109099305836068
good,-0.006143595489528443
director,-0.006830177382090322
low,-0.009196229026144895
problem,-0.004318185552280252
villain,-0.021828517610815567
should,-0.02813320953030038
really,-0.01721601452023879
have,-0.02112685203488151
shaved,-0.026935485319785846
his,-0.020185197170793458
head,-0.020083273399300678
instead,-0.02246286566364377
wig,-0.017594212646185083
you,-0.011298335242476908
know,-0.006930546747753818
after,-0.0006147512863538511
all,0.001979564088100861
movie,-0.010265497506288431
amazing,-0.006866002061992553
done,-0.01135260714181314
there,-0.005344784632445529
some,-0.007452014842420843
excellent,-0.007504942363044609
directors,-0.006560394073461219
many,-0.006282349031238978
bad,-0.0037971180399794064
ones,-0.005064495945496463
too,-0.0038943740074246693
unfortunately,-0.014490729427535537
become,-0.0058474916964039595
standard,-0.008298563189900724
main,-0.006798770008003241
line,-0.0011949988040182845
bollywood,-0.004418851561550493
intelligent,-0.013460743955486788
people,-0.009940986389654214
talented,-0.009079722025911237
even,-0.015679591456455415
fall,-0.02057800368928358
to,-0.018797940084861374
like,-0.013949046834935724
reshamiya,-0.01775606843543993
ex,0.0018749985056438323
as,-0.0062500606018352015
intense,-0.0060409437638667685
thought,-0.011104864833953756
would,-0.012829003024071228
excel,-0.012271096181967181
at,-0.009211485345974765
sentimental,-0.010265327644648478
an,-0.006652936213416108
emotional,-0.005399210635917319
role,-0.005141806978958909
himesh,-0.028201441318401844
called,-0.022692275273590155
think,-0.013610232440300934
likes,-0.018939859474047478
