PID,Sale_Price
910251050,77701.5783946445
903451090,132236.1201516897
527110080,178721.42881583242
535457010,140169.6105831933
903484020,128463.182804376
905479110,118343.93718953048
527452310,129925.71079307223
528228445,193338.9389888477
923225370,99614.52659552058
528344040,316938.9017348585
532377050,134015.16416015386
535176050,150435.9713095762
906340100,329835.3560946332
533212050,154998.22701892187
909428180,185789.41418365066
535379110,130389.51335730465
534250400,194986.79555848078
527450520,103458.38212675702
527452150,141864.07212689728
903225040,116104.3305709468
911370410,282767.98199502804
905226080,142582.76415031275
914467050,211423.10242871524
908152260,146999.91305531823
534451170,85659.29685327336
923228310,86835.71869227121
910201180,134149.08621137662
534476100,137481.05475275443
923225080,134454.88627666893
906223210,228524.68183769786
905480150,86840.057653914
903452090,117806.68006802864
527208010,338480.5655607475
906426090,171458.55602338552
903231090,130319.17303821631
535152280,140099.01824952202
528458180,222544.7559827147
532354060,130457.53652020206
909279040,117528.96269852467
527353060,230852.72439500262
916176030,172351.00918457852
533110130,261746.98836495576
911370450,252581.61310755386
528118110,326030.7466286638
528228270,202600.3803036691
905480240,99233.60854532331
914460020,202189.85164359352
534428060,139973.64648633078
534252240,168731.64640592353
908102050,121206.7782468325
914475030,156861.3039071614
533221040,172601.87310525053
535451170,96416.52362548049
905451340,124899.32268093564
528118040,381611.6783671294
903200080,166825.84182460196
527162110,190218.28343915718
535381040,144248.17659932698
528174020,195156.15081866787
534400290,163474.28715124005
903206070,135674.76894779858
533252130,187394.70669920548
906382030,239604.66121739062
535327200,125809.26025502715
535455080,118836.07367008417
527354160,186370.48666719263
902207120,104740.38097095792
909282060,177556.7083953576
902109140,129398.9318867998
902206270,126542.07720085497
533250050,225467.80332888608
909452050,192120.36314082306
527212060,349796.1838932934
906394060,196298.49039968412
534401120,157503.75091732846
528435010,218515.3856498617
528315080,275479.54092797166
909275030,149334.45674301236
528102010,368298.03996728203
907200290,151572.05000305118
902300260,131967.11556872207
528150110,354866.5143845843
535450100,126399.73628429662
907285010,229491.69456680818
533253210,191459.264486829
527301280,164337.69138876634
905478140,135334.34251804117
902204080,91254.4039793068
907201280,139245.28991111222
905476170,85060.91275504911
923228210,87308.2137484141
534226120,127361.83175071384
527301170,207399.3798363447
535453040,131656.29968686527
535150300,232707.7682084364
528363020,301652.49232234684
907265100,219380.86745628362
910200060,126475.77025305112
532376160,132720.35172068977
908204180,84356.25883127343
909282130,139784.81985899393
528326110,324952.2615721484
534176230,161733.08200235295
527302210,228703.1037144885
526355170,227337.2873570847
535305180,133740.7534496931
905452150,131027.7614376972
902201090,130720.48036454261
527452190,143127.53835379553
908275280,126330.84537375986
527402210,141209.07500957945
921126010,317384.42409388936
905109130,245697.42043587958
535425070,172523.08248365708
905200290,170146.80164186461
533253060,173716.42695410893
535179050,138625.59315243756
903476100,94363.71419890823
533135020,218750.10813820723
527403120,107083.27015805614
528429080,255974.4585776134
